"Country","Cumulative_deaths","date","year"
"Argentina",118251,2022-01-02,2022
"Australia",2480,2022-01-02,2022
"Bulgaria",30983,2022-01-02,2022
"Colombia",129942,2022-01-02,2022
"Egypt",21768,2022-01-02,2022
"Estonia",1851,2022-01-02,2022
"Japan",18395,2022-01-02,2022
"Luxembourg",640,2022-01-02,2022
"Mexico",304025,2022-01-02,2022
"Namibia",3656,2022-01-02,2022
"Netherlands (Kingdom of the)",21092,2022-01-02,2022
"Russian Federation",310518,2022-01-02,2022
"Thailand",21720,2022-01-02,2022
"United Kingdom of Great Britain and Northern Ireland",177144,2022-01-02,2022
"United States of America",821733,2022-01-02,2022
